SURVYEAR	NCESSCH	FIPST	LEAID	SCHNO	STID	SEASCH	LEANM	SCHNAM	PHONE	MSTREE	MCITY	MSTATE	MZIP	MZIP4	LSTREE	LCITY	LSTATE	LZIP	LZIP4	TYPE	STATUS	ULOCAL	LATCOD	LONCOD	CONUM	CONAME	CDCODE	GSLO	GSHI	CHARTR
2011	040000303020	04	0400003	03020	4474	90280	CHINO VALLEY UNIFIED DISTRICT	COUGAR LANE PRESCHOOL	9286362458	P.O. BOX 225	CHINO VALLEY	AZ	86323		650 EAST CENTER ST	CHINO VALLEY	AZ	86323		1	1	32	34.745608	-112.453792	04025	YAVAPAI COUNTY	0401	PK	PK	2
2011	040000400912	04	0400004	00912	4486	6122	CLARKDALE-JEROME ELEMENTARY DISTRICT	CLARKDALE-JEROME ELEMENTARY SCHOOL	9286345035	1615 MAIN STREET	CLARKDALE	AZ	86324	0248	1615 MAIN ST	CLARKDALE	AZ	86324	0248	1	1	32	34.767043	-112.067391	04025	YAVAPAI COUNTY	0401	PK	08	2
2011	040000500629	04	0400005	00629	4514	6202	SALOME CONSOLIDATED ELEMENTARY DISTRICT	SALOME ELEMENTARY SCHOOL	9288593339	P O BOX 339	SALOME	AZ	85348	0339	38128 SAGUARO AND MAIN	SALOME	AZ	85348	0339	1	1	43	33.781927	-113.619871	04012	LA PAZ COUNTY	0407	PK	08	2
2011	040001600476	04	0400016	00476	4191	4801	CENTER FOR ACADEMIC SUCCESS  INC.	CENTER FOR ACADEMIC SUCCESS  THE #1	5204584200	900 CARMELITA DRIVE	SIERRA VISTA	AZ	85635	2967	900 CARMELITA DR	SIERRA VISTA	AZ	85635	2967	1	1	33	31.558754	-110.289335	04003	COCHISE COUNTY	0408	09	12	1
2011	040001600481	04	0400016	00481	4191	4802	CENTER FOR ACADEMIC SUCCESS  INC.	CENTER FOR ACADEMIC SUCCESS  THE #2	5203642616	510 G AVENUE	DOUGLAS	AZ	85607		510 G AVE	DOUGLAS	AZ	85607		1	1	33	31.339564	-109.554814	04003	COCHISE COUNTY	0408	07	12	1
2011	040001601942	04	0400016	01942	4191	79039	CENTER FOR ACADEMIC SUCCESS  INC.	CENTER FOR ACADEMIC SUCCESS  THE #3	5208051558	1415 F AVENUE	DOUGLAS	AZ	85607	2434	1415 F AVE	DOUGLAS	AZ	85607	2434	1	1	33	31.348885	-109.552571	04003	COCHISE COUNTY	0408	KG	04	1
2011	040001602442	04	0400016	02442	4191	85876	CENTER FOR ACADEMIC SUCCESS  INC.	CENTER FOR ACADEMIC SUCCESS #4	5208051558	1415 F AVENUE	DOUGLAS	AZ	85607		1415 F AVE	DOUGLAS	AZ	85607		1	1	33	31.349052	-109.552012	04003	COCHISE COUNTY	0408	05	08	1
2011	040001602443	04	0400016	02443	4191	85877	CENTER FOR ACADEMIC SUCCESS  INC.	CENTER FOR ACADEMIC SUCCESS #5	5204584200	900 CARMELITA DRIVE	SIERRA VISTA	AZ	85635		900 CARMELITA DR	SIERRA VISTA	AZ	85635		1	1	33	31.558754	-110.289335	04003	COCHISE COUNTY	0408	KG	06	1
2011	040001800496	04	0400018	00496	4201	4841	PINE FOREST EDUCATION ASSOCIATION  INC.	PINE FOREST SCHOOL	9287799880	1120 WEST KAIBAB LANE	FLAGSTAFF	AZ	86001	6217	1120 WEST KAIBAB LN	FLAGSTAFF	AZ	86001	6217	1	1	13	35.191784	-111.666654	04005	COCONINO COUNTY	0401	KG	08	1
2011	040001900498	04	0400019	00498	4202	4842	FLAGSTAFF ARTS AND LEADERSHIP ACADEMY	FLAGSTAFF ARTS AND LEADERSHIP ACADEMY	9287797223	3401 N FORT VALLEY ROAD	FLAGSTAFF	AZ	86001	8962	3401 NORTH FORT VALLEY RD	FLAGSTAFF	AZ	86001	8962	1	1	13	35.237934	-111.668799	04005	COCONINO COUNTY	0401	07	12	1
2011	040002001179	04	0400020	01179	4205	4849	MONTESSORI CHARTER SCHOOL OF FLAGSTAFF  INC.	MONTESSORI CHARTER SCHOOL OF FLAGSTAFF - CAMPUS	9282261212	850 N. LOCUST	FLAGSTAFF	AZ	86001		850 NORTH LOCUST	FLAGSTAFF	AZ	86001		1	1	13	35.200466	-111.631429	04005	COCONINO COUNTY	0401	KG	08	1
2011	040002101276	04	0400021	01276	4370	5567	COLORADO CITY UNIFIED DISTRICT	EL CAPITAN PUBLIC SCHOOL	9288759000	PO BOX 309	COLORADO CITY	AZ	86021	0309	255 NORTH COTTONWOOD ST	COLORADO CITY	AZ	86021	0309	1	1	41	36.995135	-113.003992	04015	MOHAVE COUNTY	0402	PK	12	2
2011	040002101277	04	0400021	01277	4370	5569	COLORADO CITY UNIFIED DISTRICT	COLORADO CITY HIGH SCHOOL	9288759001	255 N. COTTOWNWOOD ST.	COLORADO CITY	AZ	86021	0309	255 NORTH COTTOWNWOOD ST	COLORADO CITY	AZ	86021	0309	1	6	41	36.995444	-113.004115	04015	MOHAVE COUNTY	0402	09	12	2
2011	040002101523	04	0400021	01523	4370	5568	COLORADO CITY UNIFIED DISTRICT	COLORADO CITY JR HIGH SCHOOL	9288759001	255 N. COTTOWNWOOD ST.	COLORADO CITY	AZ	86021	0309	255 NORTH COTTOWNWOOD ST	COLORADO CITY	AZ	86021	0309	1	6	41	36.995743	-113.004038	04015	MOHAVE COUNTY	0402	06	08	2
2011	040002103287	04	0400021	03287	4370	91242	COLORADO CITY UNIFIED DISTRICT	ELCAPONLINE	9288759030	PO BOX 309	COLORADO CITY	AZ	86021		255 NORTH COTTONWOOD ST	COLORADO CITY	AZ	86021		1	3	41	36.995098	-113.002953	04015	MOHAVE COUNTY	0402	KG	12	2
2011	040002201354	04	0400022	01354	4162	4744	VERNON ELEMENTARY DISTRICT	VERNON ELEMENTARY SCHOOL	9285375463	P. O. BOX 89	VERNON	AZ	85940	0089	90 CRN 3139	VERNON	AZ	85940	0089	1	1	43	34.253504	-109.692177	04001	APACHE COUNTY	0401	KG	08	2
2011	040002301352	04	0400023	01352	4390	5611	PINON UNIFIED DISTRICT	PINON ELEMENTARY SCHOOL	9287253450	P.O.BOX 839	PINON	AZ	86510	0839	1 MILE NORTH OF BASHAS ON NAVA	PINON	AZ	86510	0839	1	1	43	36.110986	-110.215546	04017	NAVAJO COUNTY	0401	PK	05	2
2011	040002301355	04	0400023	01355	4390	5612	PINON UNIFIED DISTRICT	PINON MIDDLE SCHOOL	9287253450	P.O. BOX 839	PINON	AZ	86510	0839	1 MILE NORTH OF HWY 41	PINON	AZ	86510	0839	1	1	43	36.112044	-110.216479	04017	NAVAJO COUNTY	0401	06	08	2
2011	040002301524	04	0400023	01524	4390	5613	PINON UNIFIED DISTRICT	PINON HIGH SCHOOL	9287253450	P. O. BOX 839	PINON	AZ	86510	0839	1 MILE NORTH OF BASHAS ON NAVA	PINON	AZ	86510	0839	1	1	43	36.101493	-110.224441	04017	NAVAJO COUNTY	0401	09	12	2
2011	040002601389	04	0400026	01389	4392	5623	HEBER-OVERGAARD UNIFIED DISTRICT	CAPPS ELEMENTARY SCHOOL	9285354667	3375 BUCKSKIN CANYON ROAD	HEBER	AZ	85928	0547	3375 BUCKSKIN CANYON RD	HEBER	AZ	85928	0547	4	1	43	34.426548	-110.596370	04017	NAVAJO COUNTY	0401	04	08	2
2011	040002601459	04	0400026	01459	4392	5624	HEBER-OVERGAARD UNIFIED DISTRICT	MOGOLLON JR HIGH SCHOOL	9285354667	PO BOX 820	HEBER	AZ	85928	0820	3375 BUCKSKIN RD	HEBER	AZ	85928	0820	1	1	43	34.428590	-110.597900	04017	NAVAJO COUNTY	0401	07	08	2
2011	040002601460	04	0400026	01460	4392	5625	HEBER-OVERGAARD UNIFIED DISTRICT	MOGOLLON HIGH SCHOOL	9285354622	PO BOX 279	HEBER	AZ	85928	0547	3450 MUSTANG AVE	HEBER	AZ	85928	0547	1	1	43	34.435623	-110.587504	04017	NAVAJO COUNTY	0401	08	12	2
2011	040002601767	04	0400026	01767	4392	6053	HEBER-OVERGAARD UNIFIED DISTRICT	MOUNTAIN MEADOWS PRIMARY	9285354622	P.O. BOX 40	OVERGAARD	AZ	85933		2181 WEST COUNTRY CLUB DR	OVERGAARD	AZ	85933		1	1	43	34.398501	-110.554465	04017	NAVAJO COUNTY	0401	PK	03	2
2011	040002800528	04	0400028	00528	4225	4897	TRIUMPHANT LEARNING CENTER	TRIUMPHANT LEARNING CENTER	9283488422	201 E. MAIN STREET	SAFFORD	AZ	85546		201 EAST MAIN ST	SAFFORD	AZ	85546		1	1	33	32.833110	-109.705200	04009	GRAHAM COUNTY	0401	KG	08	1
2011	040003100689	04	0400031	00689	4301	5467	VENTANA ACADEMIC CHARTER SCHOOL	VENTANA ACADEMY	4804889362	5424 E. THUNDER HAWK RD.	CAVE CREEK	AZ	85331	1589	6424 EAST CAVE CREEK RD	CAVE CREEK	AZ	85331		1	1	41	33.828938	-111.929984	04013	MARICOPA COUNTY	0403	KG	08	1
2011	040003300703	04	0400033	00703	4305	5470	BOYS & GIRLS CLUBS OF THE EAST VALLEY DBA MESA ARTS ACADEMY	MESA ARTS ACADEMY	4808443965	221 WEST 6TH AVENUE	MESA	AZ	85210	2446	221 WEST 6TH AVE	MESA	AZ	85210	2446	1	1	11	33.403716	-111.836169	04013	MARICOPA COUNTY	0406	KG	08	1
2011	040003400707	04	0400034	00707	4306	5471	VALLEY ACADEMY  INC.	VALLEY ACADEMY	6235167747	1520 WEST ROSE GARDEN LANE	PHOENIX	AZ	85027	3529	1520 WEST ROSE GARDEN LN	PHOENIX	AZ	85027	3529	1	1	41	33.677851	-112.091937	04013	MARICOPA COUNTY	0403	KG	08	1
2011	040003600709	04	0400036	00709	4309	5474	FOOTHILLS ACADEMY	FOOTHILLS ACADEMY	4804885583	7191 EAST ASHLER HILLS DRIVE	SCOTTSDALE	AZ	85266		7191 EAST ASHLER HILLS DR	SCOTTSDALE	AZ	85266		1	1	41	33.776250	-111.926627	04013	MARICOPA COUNTY	0405	KG	12	1
2011	040003700712	04	0400037	00712	4310	5475	TWENTY FIRST CENTURY CHARTER SCHOOL  INC. DBA: BENNETT ACADE	BENNETT ACADEMY	6029431317	2930 WEST BETHANY HOME ROAD	PHOENIX	AZ	85017		2930 WEST BETHANY HOME RD	PHOENIX	AZ	85017		1	1	11	33.524779	-112.122939	04013	MARICOPA COUNTY	0403	KG	08	1
2011	040003800714	04	0400038	00714	4311	5476	CASY COUNTRY DAY SCHOOL	CASY COUNTRY DAY SCHOOL #1	4809513190	7214 E. JENAN DR.	SCOTTSDALE	AZ	85260	5416	7214 EAST JENAN DR	SCOTTSDALE	AZ	85260	5416	1	6	12	33.593170	-111.925100	04013	MARICOPA COUNTY	0405	N	N	1
2011	040003801721	04	0400038	01721	4311	5477	CASY COUNTRY DAY SCHOOL	CASY COUNTRY DAY SCHOOL #2	4806610401	9575 E. LARKSPUR DR.	SCOTTSDALE	AZ	85260		9575 EAST LARKSPUR DR	SCOTTSDALE	AZ	85260		1	6	12	33.597150	-111.879400	04013	MARICOPA COUNTY	0405	N	N	1
2011	040003802534	04	0400038	02534	4311	87539	CASY COUNTRY DAY SCHOOL	CASY SOUTH VALLEY ACADEMY	6022762818	7214 JENAN DR.	SCOTTSDALE	AZ	85260		15220 SOUTH 50TH ST	PHOENIX	AZ	85244		1	6	11	33.307593	-111.976077	04013	MARICOPA COUNTY	0405	N	N	1
2011	040004000717	04	0400040	00717	4313	5479	EDU-PRIZE  INC.	EDU-PRIZE	4808139537	580 W. MELODY AVE.	GILBERT	AZ	85233		580 WEST MELODY AVE	GILBERT	AZ	85233		1	1	21	33.375967	-111.801831	04013	MARICOPA COUNTY	0406	KG	08	1
2011	040004100718	04	0400041	00718	4314	5480	MARICOPA COUNTY COMMUNITY COLLEGE DISTRICT DBA GATEWAY EARLY	GATEWAY EARLY COLLEGE HIGH SCHOOL	6022868759	108 NORTH 40TH STREET	PHOENIX	AZ	85034	1704	108 NORTH 40TH ST	PHOENIX	AZ	85034	1704	1	1	11	33.449330	-111.997097	04013	MARICOPA COUNTY	0404	09	12	1
2011	040004300733	04	0400043	00733	4316	5482	NEW SCHOOL FOR THE ARTS	NEW SCHOOL FOR THE ARTS	4809473917	1216 EAST APACHE BOULEVARD	TEMPE	AZ	85281		1216 EAST APACHE BLVD	TEMPE	AZ	85281		1	1	12	33.415439	-111.919058	04013	MARICOPA COUNTY	0405	09	12	1
2011	040004500736	04	0400045	00736	4318	5485	CARDEN TRADITIONAL SCHOOL OF GLENDALE  INC.	INTERNATIONAL STUDIES ACADEMY	6025478806	4744 W. GROVERS AVE.	GLENDALE	AZ	85308		4744 WEST GROVERS AVE	GLENDALE	AZ	85308		1	2	11	33.648196	-112.162098	04013	MARICOPA COUNTY	0402	N	N	1
2011	040004700744	04	0400047	00744	4320	5489	SALT RIVER PIMA-MARICOPA  COMMUNITY SCHOOLS	SALT RIVER HIGH SCHOOL	4803622000	10,005 E. OSBORN RD.	SCOTTSDALE	AZ	85256	9776	4827 NORTH COUNTRY CLUB	SCOTTSDALE	AZ	85256	9776	1	1	41	33.506913	-111.838363	04013	MARICOPA COUNTY	0405	07	12	1
2011	040004703031	04	0400047	03031	4320	90159	SALT RIVER PIMA-MARICOPA  COMMUNITY SCHOOLS	SALT RIVER ACCELERATED LEARNING ACADEMY	4803622130	10005 EAST OSBORN ROAD	SCOTTSDALE	AZ	85256		10000 EAST MCDOWELL RD	SCOTTSDALE	AZ	85256		1	1	41	33.465865	-111.865603	04013	MARICOPA COUNTY	0405	09	12	1
2011	040004800745	04	0400048	00745	4321	5490	KACHINA COUNTRY DAY SCHOOL	KACHINA COUNTRY DAY SCHOOL #1	4809510745	6602 E. MALCOMB DRIVE	PARADISE VALLEY	AZ	85253	5317	6602 EAST MALCOMB DR	PARADISE VALLEY	AZ	85253	5317	1	2	21	33.529949	-111.938480	04013	MARICOPA COUNTY	0403	KG	06	1
2011	040004802673	04	0400048	02673	4321	89287	KACHINA COUNTRY DAY SCHOOL	KACHINA COUNTRY DAY SCHOOL - NORTH CAMPUS	6023936500	6602 E. MALCOMB DR.	PARADISE VALLEY	AZ	85253		10460 NORTH 56TH ST	SCOTTSDALE	AZ	85253		1	2	11	33.581144	-111.961185	04013	MARICOPA COUNTY	0403	KG	08	1
2011	040005200752	04	0400052	00752	4335	5507	ESPIRITU COMMUNITY DEVELOPMENT CORP.	NFL YET COLLEGE PREP ACADEMY	6022437788	4848 SOUTH 2ND STREET	PHOENIX	AZ	85040	2122	4848 SOUTH 2ND ST	PHOENIX	AZ	85040	2122	1	1	11	33.401893	-112.071566	04013	MARICOPA COUNTY	0404	07	12	1
2011	040005202450	04	0400052	02450	4335	85886	ESPIRITU COMMUNITY DEVELOPMENT CORP.	REYES MARIA RUIZ LEADERSHIP ACADEMY	6022437788	4848 S. 2ND ST.	PHOENIX	AZ	85040		4848 SOUTH 2ND ST	PHOENIX	AZ	85040		1	1	11	33.403221	-112.071462	04013	MARICOPA COUNTY	0404	04	06	1
2011	040005202451	04	0400052	02451	4335	85887	ESPIRITU COMMUNITY DEVELOPMENT CORP.	ESPERANZA MONTESSORI ACADEMY	6022437788	4848 S. 2ND ST.	PHOENIX	AZ	85040		4848 SOUTH 2ND ST	PHOENIX	AZ	85040		1	1	11	33.403221	-112.071462	04013	MARICOPA COUNTY	0404	KG	03	1
2011	040005300754	04	0400053	00754	4336	5509	HERITAGE ACADEMY  INC.	HERITAGE ACADEMY	4809695641	32 S. CENTER	MESA	AZ	85210		32 SOUTH CENTER	MESA	AZ	85210		1	1	11	33.414150	-111.832100	04013	MARICOPA COUNTY	0406	07	12	1
2011	040005400756	04	0400054	00756	4339	5513	VILLA MONTESSORI CHARTER SCHOOL	VILLA MONTESSORI - PHOENIX CAMPUS	6029552210	4535 N. 28TH STREET	PHOENIX	AZ	85016	4930	4535 NORTH 28TH ST	PHOENIX	AZ	85016	4930	1	1	11	33.503737	-112.021093	04013	MARICOPA COUNTY	0403	KG	08	1
2011	040005500774	04	0400055	00774	4341	6337	EDUPRENEURSHIP  INC.	EDUPRENEURSHIP STUDENT CENTER (ESC) SCOTTSDALE	6029738998	1201 N., 85TH PLACE	SCOTTSDALE	AZ	85257	4196	1201 NORTH 85TH PLACE	SCOTTSDALE	AZ	85257	4196	1	6	12	33.461047	-111.896108	04013	MARICOPA COUNTY	0405	N	N	1
2011	040005501731	04	0400055	01731	4341	10752	EDUPRENEURSHIP  INC.	EDUPRENEURSHIP STUDENT CENTER (ESC) PHOENIX	6029738998	2632 W. AUGUSTA AVE.	PHOENIX	AZ	85051		7801 NORTH 27TH AVE	PHOENIX	AZ	85051		1	1	11	33.551669	-112.116491	04013	MARICOPA COUNTY	0403	KG	08	1
2011	040005600781	04	0400056	00781	4345	5519	ARIZONA SCHOOL FOR THE ARTS	ARIZONA SCHOOL FOR THE ARTS	6022571444	1410 NORTH 3RD STREET	PHOENIX	AZ	85004	1718	1410 NORTH 3RD ST	PHOENIX	AZ	85004	1718	1	1	11	33.463382	-112.070983	04013	MARICOPA COUNTY	0404	05	12	1
2011	040005700784	04	0400057	00784	4346	5520	ARIZONA CALL-A-TEEN YOUTH RESOURCES  INC.	ARIZONA CALL-A-TEEN CENTER FOR EXCELLENCE	6022526721	649 NORTH 6TH AVENUE	PHOENIX	AZ	85003	1530	649 NORTH 6TH AVE	PHOENIX	AZ	85003	1530	1	1	11	33.456438	-112.081162	04013	MARICOPA COUNTY	0404	09	12	1
2011	040005901740	04	0400059	01740	4350	5525	SCOTTSDALE HORIZONS CHARTER SCHOOL	PEORIA HORIZONS CHARTER SCHOOL	4809907223	PO BOX 2208	PEORIA	AZ	85380		11820 NORTH 81ST AVE	PEORIA	AZ	85345		1	2	21	33.592692	-112.233815	04013	MARICOPA COUNTY	0402	KG	08	1
2011	040005902530	04	0400059	02530	4350	87617	SCOTTSDALE HORIZONS CHARTER SCHOOL	MONTAGE ACADEMY	4804880215	PO BOX 2208	PEORIA	AZ	85380		33955 NORTH CAVE CREEK RD	CAVE CREEK	AZ	85331		1	2	21	33.793470	-111.967130	04013	MARICOPA COUNTY	0403	KG	05	1
2011	040006101742	04	0400061	01742	4352	10746	INTELLI-SCHOOL  INC.	INTELLI-SCHOOL - PARADISE VALLEY	6025647280	2222 W. NORTHERN AVE.	PHOENIX	AZ	85021	2691	1427 EAST BELL RD	PHOENIX	AZ	85022	2691	1	1	11	33.641147	-112.057879	04013	MARICOPA COUNTY	0403	09	12	1
2011	040006200811	04	0400062	00811	4353	5532	TERTULIA	TERTULIA PRE-COLLEGE COMMUNITY PRIMARY CAMPUS	6022622200	812 SOUTH 6TH AVENUE	PHOENIX	AZ	85003		812 SOUTH 6TH AVE	PHOENIX	AZ	85003		1	2	11	33.439476	-112.081767	04013	MARICOPA COUNTY	0404	KG	06	1
2011	040006201598	04	0400062	01598	4353	5533	TERTULIA	TERTULIA PRE-COLLEGE COMMUNITY INTERMEDIATE CAMPUS	6022622200	812 SOUTH 6TH AVENUE	PHOENIX	AZ	85003		1145 EAST WASHINGTON	PHOENIX	AZ	85034		1	2	11	33.448037	-112.057261	04013	MARICOPA COUNTY	0404	05	08	1
2011	040006400884	04	0400064	00884	4384	5598	LAKE HAVASU CHARTER SCHOOL  INC.	LAKE HAVASU CHARTER SCHOOL	9285055427	1055 EMPIRE DRIVE	LAKE HAVASU CITY	AZ	86404	2400	1055 EMPIRE DR	LAKE HAVASU CITY	AZ	86404	2400	1	2	33	34.504355	-114.354076	04015	MOHAVE COUNTY	0402	N	N	1
2011	040006402541	04	0400064	02541	4384	87936	LAKE HAVASU CHARTER SCHOOL  INC.	LAKE HAVASU CHARTER SCHOOL	9285055427	2700 S. JAMAICA BLVD.	LAKE HAVASU CITY	AZ	86406		2700 SOUTH JAMAICA BLVD	LAKE HAVASU CITY	AZ	86406		1	2	33	34.467505	-114.299263	04015	MOHAVE COUNTY	0402	KG	12	1
2011	040006500821	04	0400065	00821	4355	5536	BENJAMIN FRANKLIN CHARTER SCHOOL	BENJAMIN FRANKLIN CHARTER SCHOOL - MESA	4806320722	2345 N. HORNE	MESA	AZ	85203		2345 NORTH HORNE	MESA	AZ	85203		1	1	11	33.457640	-111.813400	04013	MARICOPA COUNTY	0406	KG	06	1
2011	040006501599	04	0400065	01599	4355	5537	BENJAMIN FRANKLIN CHARTER SCHOOL	BENJAMIN FRANKLIN CHARTER SCHOOL - QUEEN CREEK	4806320722	21151 CRISMON ROAD	QUEEN CREEK	AZ	85242		21151 CRISMON RD	QUEEN CREEK	AZ	85242		1	1	41	33.259706	-111.616618	04013	MARICOPA COUNTY	0406	KG	08	1
2011	040006501600	04	0400065	01600	4355	5538	BENJAMIN FRANKLIN CHARTER SCHOOL	BENJAMIN FRANKLIN CHARTER SCHOOL - GILBERT	4806320722	320 E. WARNER RD.	GILBERT	AZ	85296		320 EAST WARNER RD	GILBERT	AZ	85296		1	1	21	33.336191	-111.786059	04013	MARICOPA COUNTY	0406	KG	06	1
2011	040006502685	04	0400065	02685	4355	88341	BENJAMIN FRANKLIN CHARTER SCHOOL	BENJAMIN FRANKLIN CHARTER SCHOOL - POWER	4806320722	13732 E. WARNER RD.	GILBERT	AZ	85296		22951 SOUTH POWER RD	GILBERT	AZ	85297		1	1	41	33.240518	-111.683653	04013	MARICOPA COUNTY	0406	KG	08	1
2011	040006701901	04	0400067	01901	4358	78822	VICTORY HIGH SCHOOL  INC.	VICTORY HIGH SCHOOL - CAMPUS	6022437583	P O BOX 8374	PHOENIX	AZ	85066	8374	1650 WEST SOUTHERN AVE	PHOENIX	AZ	85041		1	1	11	33.392756	-112.094493	04013	MARICOPA COUNTY	0404	09	12	1
2011	040006800825	04	0400068	00825	4359	5542	MONTESSORI DAY PUBLIC SCHOOLS CHARTERED  INC.	MONTESSORI DAY PUBLIC SCHOOLS CHARTERED - TEMPE	4807308886	1700 WEST WARNER ROAD	CHANDLER	AZ	85224		1700 WEST WARNER RD	CHANDLER	AZ	85224		1	1	21	33.335749	-111.871292	04013	MARICOPA COUNTY	0405	KG	08	1
2011	040006801745	04	0400068	01745	4359	5544	MONTESSORI DAY PUBLIC SCHOOLS CHARTERED  INC.	MONTESSORI DAY PUBLIC SCHOOLS CHARTERED - MOUNTAIN	6029437672	9215 N. 14TH STREET	PHOENIX	AZ	85020		9215 NORTH 14TH ST	PHOENIX	AZ	85020		1	1	11	33.570265	-112.051162	04013	MARICOPA COUNTY	0403	KG	08	1
2011	040006900826	04	0400069	00826	4360	5547	KHALSA MONTESSORI ELEMENTARY SCHOOLS	KHALSA MONTESSORI ELEMENTARY SCHOOL - PHOENIX	6022523799	2536 N. 3RD STREET	PHOENIX	AZ	85004	1308	2536 NORTH 3RD ST	PHOENIX	AZ	85004	1308	1	1	11	33.475943	-112.069649	04013	MARICOPA COUNTY	0404	KG	06	1
2011	040007000831	04	0400070	00831	4361	5549	TEMPE PREPARATORY ACADEMY	TEMPE PREPARATORY ACADEMY	4808393402	1251 E. SOUTHERN AVE	TEMPE	AZ	85283		1251 EAST SOUTHERN AVE	TEMPE	AZ	85283		1	1	12	33.392370	-111.918811	04013	MARICOPA COUNTY	0405	07	12	1
